"Nazwa","Cena","Popularność","RAM(GB)","GPU","Pamięć GPU(GB)","CPU","Taktowanie(GHz)","Rdzenie","Wątki","Przekątna","System","Indeks"
"Lenovo IdeaPad 5 Pro 16ACH6 Ryzen 7 5800H / 16 GB / 1 TB / 120 Hz (82L500VEPB)",3999.0,1,16,"AMD Radeon RX Vega 8",0,"AMD Ryzen 7 5800H",3.2,8,16,16.0,"Brak",90
"Lenovo IdeaPad Gaming 3 15IHU6 (82K101F0PB) / 16 GB RAM / 512 GB SSD PCIe / Windows 10 Home",3999.0,4,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11320H",3.2,4,8,15.6,"Windows 10 Home",91
"Asus VivoBook S 16X i5-12500H / 16 GB / 1 TB / W11 / 120 Hz (S5602ZA-KV078W)",3999.0,2,16,"Intel Iris Xe",0,"Intel Core i5-12500H",1.8,12,16,16.0,"Windows 11 Home",92
"MSI Katana GF76 11UD-633XPL",4054.19,10,8,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Brak",93
"ADATA Xenia 14 (XENIA14I7G11GXELX)",4099.0,1,16,"Intel Iris Xe",0,"Intel Core i7-1165G7",2.8,4,8,14.0,"Windows 10 Home",94
"MSI GF63 Thin 11UC-214XPL",4138.99,97,8,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Brak",95
"Asus TUF Gaming A15 Ryzen 5 4600H / 16 GB / 512 GB / W11 / RTX 3050 / 144 Hz (FA506ICB-HN105W)",4199.0,0,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"AMD Ryzen 5 4600H",3.0,6,12,15.6,"Windows 11 Home",96
"Lenovo Legion 5 15ARH7 Ryzen 5 6600H / 16 GB / 512 GB / RTX 3050 / 165 Hz (82RE003TPB)",4299.0,19,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"AMD Ryzen 5 6600H",3.3,6,12,15.6,"Brak",97
"Lenovo Yoga 7 14ITL5 Core i5-1135G7 / 16 GB / 512 GB (82BH00JRPB)",4299.0,0,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,14.0,"Windows 11 Home",98
"Asus VivoBook S 16X i5-12500H / 16 GB / 1 TB / W11 / 120 Hz (S5602ZA-KV079W)",4299.0,4,16,"Intel Iris Xe",0,"Intel Core i5-12500H",1.8,12,16,16.0,"Windows 11 Home",99
"Lenovo IdeaPad Gaming 3 16ARH7 Ryzen 5 6600H / 16 GB / 512 GB / RTX 3050Ti / 165 Hz (82SC003MPB)",4299.0,0,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"AMD Ryzen 5 6600H",3.3,6,12,16.0,"Brak",100
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 6600H / 16 GB / 512 GB / W11 / RTX 3050 / 120 Hz (82SB00CPPB)",4299.0,2,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"AMD Ryzen 5 6600H",3.3,6,12,15.6,"Windows 11 Home",101
